SNO,BATCH,DAY,SESSION,BRANCHES,TOTAL,ROOM,COURSE,FACULTY
1,VI-SU-B1,"MON, ",FN,CSE (107),107,5102,JFS,INV
2,VI-SU-B1,TUE,FN,CSE (107),107,5102,CP,BRK
3,VI-SU-B1,WED,FN,CSE (107),107,5102,CP,BPJ
4,VI-SU-B1,THU,AN,CSE (107),107,5102,DBS,BRM
5,VI-SU-B1,FRI,AN,CSE (107),107,5102,JFS,INV
6,VI-SU-B1,SAT,AN,CSE (107),107,5102,CP,BPJ
7,VI-SU-B2,"MON, ",FN,AI&ML (72) + IT (35),107,5106,DBS,BRM
8,VI-SU-B2,TUE,FN,AI&ML (72) + IT (35),107,5106,CP,BPJ
9,VI-SU-B2,WED,FN,AI&ML (72) + IT (35),107,5106,JFS,EKR
10,VI-SU-B2,THU,AN,AI&ML (72) + IT (35),107,5106,CP,BPJ
11,VI-SU-B2,FRI,AN,AI&ML (72) + IT (35),107,5106,JFS,EKR
12,VI-SU-B2,SAT,AN,AI&ML (72) + IT (35),107,5106,CP,SSK
13,V1-SU-B3,"MON, ",AN,CS (31) + DS (31) + ECE (13),75,5104,JFS,INV
14,V1-SU-B3,TUE,AN,CS (31) + DS (31) + ECE (13),75,5104,CP,DKB
15,V1-SU-B3,WED,AN,CS (31) + DS (31) + ECE (13),75,5104,DBS,BRM
16,V1-SU-B3,THU,FN,CS (31) + DS (31) + ECE (13),75,5104,CP,DKB
17,V1-SU-B3,FRI,FN,CS (31) + DS (31) + ECE (13),75,5104,JFS,INV
18,V1-SU-B3,SAT,FN,CS (31) + DS (31) + ECE (13),75,5104,CP,VAK
19,VI-SN-B1,MON,FN,CSE (89),89,5204,JFS,KMY
20,VI-SN-B1,TUE,FN,CSE (89),89,5204,DBS,PVNR
21,VI-SN-B1,WED,FN,CSE (89),89,5204,CP,CVR
22,VI-SN-B1,THU,AN,CSE (89),89,5204,CP,CVR
23,VI-SN-B1,FRI,AN,CSE (89),89,5204,CP,PSS
24,VI-SN-B1,SAT,AN,CSE (89),89,5204,JFS,KMY
25,VI-SN-B2,"MON, ",FN,AI&ML (55) + IT (38),93,5104,CP,CVR
26,VI-SN-B2,TUE,FN,AI&ML (55) + IT (38),93,5104,CP,BVA
27,VI-SN-B2,WED,FN,AI&ML (55) + IT (38),93,5104,JFS,KMY
28,VI-SN-B2,THU,AN,AI&ML (55) + IT (38),93,5104,DBS,PVNR
29,VI-SN-B2,FRI,AN,AI&ML (55) + IT (38),93,5104,JFS,KMY
30,VI-SN-B2,SAT,AN,AI&ML (55) + IT (38),93,5104,CP,CVR
